Team_Alias,Player_Name,Minutes,PPG,APG,DefRBD,OffRBD,SPG,BPG,Paint_PPG,att_3PT_pg,made_3PT_pg,ATO,Position
UTA,Jordan Clarkson,1682,17.1,5,2.53,0.89,0.64,0.11,7.67,5.62,1.65,1.9,G
UTA,Micah Potter,186,3.3,0.4,2.06,0.63,0.25,0.38,1.25,1.31,0.56,1.2,C
UTA,Kevin Knox II,0,0,0,0,0,0,0,0,0,0,0,F
UTA,John Collins,1901,15.1,1.1,6.15,2.31,0.59,0.9,8.62,3.41,1.26,0.79,F-C
UTA,Keyonte George,2023,13,4.4,2.61,0.2,0.48,0.09,3.68,5.87,1.96,1.77,G
UTA,Kris Dunn,1249,5.4,3.8,2.11,0.76,1.03,0.42,3.15,1.68,0.62,3.22,G
UTA,Lauri Markkanen,1820,23.2,2,5.95,2.22,0.91,0.47,8.25,7.98,3.18,1.43,F-C
UTA,Johnny Juzang,372,7.2,1.2,1.45,0.35,0.2,0.1,1.8,3.85,1.6,1.77,G
UTA,Darius Bazley,142,8,0.8,3.17,1.33,1,1.17,5.33,1.33,0.33,0.71,F
UTA,Omer Yurtseven,545,4.6,0.6,2.83,1.5,0.17,0.38,3.79,0.5,0.1,0.78,C
UTA,Kira Lewis Jr.,119,3.8,1.6,0.58,0.42,0.33,0.08,2.5,1.08,0.17,3.17,G
UTA,Luka Samanic,404,4.1,0.4,1.86,0.51,0.12,0.16,2.14,1.49,0.3,0.68,F
UTA,Otto Porter Jr.,0,0,0,0,0,0,0,0,0,0,0,F
UTA,Kenneth Lofton Jr.,91,13.8,4.8,2.5,2.5,0.75,0.5,6.5,3,1,3.17,F
UTA,Walker Kessler,1493,8.1,0.9,4.94,2.58,0.47,2.41,7.03,0.3,0.06,0.91,C
UTA,Collin Sexton,2075,18.7,4.9,1.72,0.91,0.79,0.23,8.77,4.17,1.64,2.32,G
UTA,Josh Christopher,0,0,0,0,0,0,0,0,0,0,0,G
UTA,Kelly Olynyk,1019,8.1,4.4,3.82,1.26,0.74,0.24,4.04,1.68,0.72,2.7,F-C
UTA,Ochai Agbaji,1003,5.4,0.9,1.78,0.69,0.53,0.57,2.2,2.78,0.92,1.38,G
UTA,Talen Horton-Tucker,1009,10.1,3.5,1.96,0.41,0.88,0.37,4.59,3.57,1.18,2.72,G
UTA,Jason Preston,71,1.7,2.3,1.57,0.86,0.29,0.14,1.43,0.43,0,8,G
UTA,Brice Sensabaugh,584,7.5,1.7,2.69,0.5,0.41,0.19,2.44,3.59,1.06,1.17,F
UTA,Taylor Hendricks,856,7.3,0.8,3.48,1.15,0.7,0.75,2.6,3.5,1.33,1.19,F
UTA,Simone Fontecchio,1160,8.9,1.5,2.48,1.04,0.6,0.36,2.68,4.66,1.82,1.43,F
IND,Andrew Nembhard,1697,9.2,4.1,1.54,0.53,0.93,0.09,4.38,2.51,0.9,2.77,G-F
IND,Isaiah Jackson,771,6.4,0.8,2.4,1.57,0.57,1.02,5,0.07,0,1.28,F
IND,James Johnson,47,0.9,0.9,0.33,0.11,0.56,0.11,0.44,0.22,0,1.6,F
IND,Tyrese Haliburton,2224,20.1,10.9,3.42,0.51,1.2,0.7,6.49,7.75,2.83,4.73,G
IND,Kendall Brown,63,1.4,0.3,0.13,0.2,0,0,1.07,0.13,0,2.5,G
IND,Myles Turner,2076,17.1,1.3,5.45,1.47,0.51,1.87,7.95,4.21,1.51,0.92,C-F
IND,Ben Sheppard,814,4.4,0.9,1.3,0.26,0.58,0.04,1.3,2.74,0.86,3.53,G
IND,Pascal Siakam,1303,21.3,3.7,5.71,2.07,0.76,0.37,13.41,2.46,0.95,2.62,F
IND,Bennedict Mathurin,1538,14.5,2,2.95,1.02,0.59,0.24,6.14,3.63,1.36,1.23,G-F
IND,Cory Joseph,0,0,0,0,0,0,0,0,0,0,0,G
IND,Doug McDermott,204,4.2,0.7,0.5,0.11,0.28,0,0.78,3.11,1,3.25,F
IND,Jalen Smith,1047,9.9,1,3.69,1.84,0.28,0.62,5.38,2.36,1,1.43,F-C
IND,Jarace Walker,340,3.6,1.2,1.55,0.36,0.45,0.33,0.97,1.67,0.67,2.35,F
IND,Buddy Hield,1336,12,2.7,2.56,0.65,0.83,0.6,3.19,6.87,2.63,2.24,G
IND,Oscar Tshiebwe,42,3.3,0.3,1,1,0.25,0.13,2.25,0,0,0,F
IND,Quenton Jackson,11,0.7,0.7,1.33,0,0.33,0,0,0,0,0,G
IND,Aaron Nesmith,1995,12.2,1.5,2.94,0.88,0.9,0.68,4.42,4.64,1.94,1.69,G-F
IND,Jordan Nwora,183,5.2,1,1.39,0.44,0.33,0.06,2.56,2,0.61,1.5,F
IND,Daniel Theis,8,2,0,0,0,0,0,2,1,0,0,F-C
IND,T.J. McConnell,1291,10.2,5.5,2.18,0.51,1.01,0.11,7.07,0.62,0.25,3.61,G
IND,Obi Toppin,1730,10.3,1.6,2.87,1.04,0.57,0.52,5.51,3.09,1.24,1.86,F
IND,Isaiah Wong,4,2,0,0,0,0,0,0,1,0,0,G
IND,Bruce Brown,981,12.1,3,3.91,0.76,1.06,0.24,6.18,3.06,1,2.44,G-F
TOR,Justise Winslow,0,0,0,0,0,0,0,0,0,0,0,F-G
